Address: USD : PerSqft: Beds: Baths: TotalSqft: Date
"22057 Mcclellan Rd, Cupertino, CA" : 960000:65 :2 :2 :994 :"3/3/15"
"10227 S Foothill Blvd, Cupertino, CA" : 1590000 : 926: 4  : 3  : 1717 :"3/3/15"
"22067 San Fernando Ct, Cupertino, CA" : 2300000 : 1,029: 4  : 3  : 2234 :"3/3/15"
"20488 Stevens Creek Blvd APT 1318, Cupertino, CA" : 685000 : 839: 1  : 1  : 816 :"3/2/15"
"19999 Stevens Creek Blvd UNIT 307, Cupertino, CA" : 910000 : 763: 2  : 2  : 1192 :"2/27/15"
"20222 Northcove Sq, Cupertino, CA" : 595000 : 560 :1  : 1  : 1062: "2/27/15"
"10315 Stydale Dr, Cupertino, CA" : 2320000 : 924 :5  : 3  : 2510: "2/24/15"
"7538 De Foe Dr, Cupertino, CA" : 1600000 : 1,264 :3  : 2  : 1265: "2/24/15"
"10501 Florence Dr, Cupertino, CA" : 2800000 : 1,065 :4  : 3  : 2629: "2/20/15"
"21675 Olive Ave, Cupertino, CA" : 1350000 : 873 :4  : 3  : 1546: "2/20/15"
"7453 Heatherwood Dr, Cupertino, CA" : 1950000 : 968 :4  : 2  : 2013: "2/20/15"
"1115 Milky Way, Cupertino, CA" : 1780000 : 1,252 :3  : 2  : 1421: "2/18/15"
"10367 Menhart Ln, Cupertino, CA" : 1300000 : 1,030 :3  : 1  : 1263: "2/17/15"
"20500 Town Center Ln UNIT 163, Cupertino, CA" : 640000 : 861 :1  : 1  : 743: "2/13/15"
"10232 Danube Dr, Cupertino, CA" : 915000 : 792 :2  : 2  : 1154: "2/12/15"
"13220 Peacock Ct, Cupertino, CA" : 3640000 : 640 :5  : 6  : 5685: "2/12/15"
"11564 Evening Spring Ct, Cupertino, CA" : 1650000 : 850 :3  : 3  : 1939: "2/12/15"
"22330 Homestead Rd APT 108, Cupertino, CA" : 750000 : 600 :2  : 2  : 1249: "2/9/15"
"10240 Stern Ave, Cupertino, CA" : 100000 : 57 4  : :2  : 1739: "2/9/15"
"10351 S Tantau Ave, Cupertino, CA" : 2530000 : 697 :4  : 4  : 3628: "2/6/15"
"20320 Town Center Ln UNIT 829, Cupertino, CA" : 1450000 : 868 :3  : 3  : 1670: "2/6/15"
"10265 Stern Ave, Cupertino, CA" : 1700000 : 886 :4  : 3  : 1918: "2/4/15"
"10880 W Estates Dr, Cupertino, CA" : 1530000 : 1,201 :4  : 2  : 1272: "2/4/15"
"7632 Rainbow Dr, Cupertino, CA" : 2300000 : 1,079 :4  : 3  : 2130: "2/4/15"
"11000 Northsky Sq, Cupertino, CA" : 900000 : 849 :2  : 2  : 1060: "1/30/15"
"10255 Nile Dr, Cupertino, CA" : 625000 : 707 :1  : 1  : 884: "1/30/15"
"10208 Nile Dr, Cupertino, CA" : 930000 : 805 :2  : 2  : 1154: "1/29/15"
"866 September Dr, Cupertino, CA" : 1410000 : 931 :3  : 2  : 1513: "1/29/15"
"10233 Nile Dr, Cupertino, CA" : 780000 : 651 :2  : 2  : 1198: "1/29/15"
"10435 San Fernando Ave, Cupertino, CA" : 1560000 : 579 :4  : 2  : 2702: "1/29/15"
"18896 Loree Ave, Cupertino, CA" : 1200000 : 917 :3  : 2  : 1308: "1/28/15"
"22330 Homestead Rd APT 221, Cupertino, CA" : 750000 : 600 :2  : 3  : 1250: "1/28/15"
"20488 Stevens Creek Blvd APT 1714, Cupertino, CA" : 770000 : 811 :1  : 1  : 949: "1/28/15"
"10165 Adriana Ave, Cupertino, CA" : 1700000 : 1,084 :3  : 1  : 1568: "1/26/15"
"11718 Ridge Creek Ct, Cupertino, CA" : 2150000 : 921 :3  : 3  : 2334: "1/23/15"
"10168 Danube Dr, Cupertino, CA" : 515000 : 582 :1  : 1  : 884: "1/23/15"
"10516 Rampart Ave, Cupertino, CA" : 1550000 : 1,128 :3  : 2  : 1374: "1/20/15"
"911 S Stelling Rd, Cupertino, CA" : 1460000 : 931 :4  : 2  : 1568 :"1/15/15"
"10250 S Foothill Blvd APT B, Cupertino, CA" : 1800000 : 821 :5  : 4  : 2190: "1/13/15"
"7608 Waterford Dr, Cupertino, CA" : 1710000 : 983 :3  : 2  : 1738: "1/9/15"
"11350 Bubb Rd, Cupertino, CA" : 2270000 : 695 :5  : 3  : 3258: "1/9/15"
"10981 Barranca Dr, Cupertino, CA" : 280500 : 162 :3  : 2  : 1728: "12/31/14"
"22669 Weeping Oak Ct, Cupertino, CA" : 1080000 : 802 :3  : 2.5  : 1341: "12/24/14"
"21800 Almaden Ave, Cupertino, CA" : 1650000 : 1,494 :2  : 1  : 1104: "12/19/14"
"10381 Alpine Dr, Cupertino, CA" : 1750000 : 523 :5  : 6  : 3338: "12/18/14"
"18650 Crabtree Ave, Cupertino, CA" : 1700000 : 802 :4  : 2.1  : 2115: "12/18/14"
"19771 Bixby Dr, Cupertino, CA" : 1730000 : 865 :4  : 2  : 2002: "12/17/14"
"10141 Denis Ave, Cupertino, CA" : 2020000 : 612 :5  : 3  : 3299: "12/17/14"
"1152 Scotland Dr, Cupertino, CA" : 1300000 : 764 :4  : 2  : 1700: "12/17/14"
"10152 Peninsula Ave, Cupertino, CA" : 1150000 : 923 :3  : 2  : 1248: "12/16/14"
"19030 Meiggs Ln, Cupertino, CA" : 1220000 : 976 :3  : 2  : 1249: "12/15/14"
"6351 Candlewood Ct, Cupertino, CA" : 1200000 : 998 :3  : 2  : 1201: "12/12/14"
"18630 Cynthia Ave, Cupertino, CA" : 1900000 : 526 :5  : 3  : 3606: "12/12/14"
"18971 Newsom Ave, Cupertino, CA" : 1300000 : 729 :4  : 4  : 1782: "12/12/14"
"10189 S Foothill Blvd, Cupertino, CA" : 2300000 : 657 :5  : 4.5  : 3496: "12/11/14"
"18426 Chelmsford Dr, Cupertino, CA" : 1820000 : 591 :5  : 3  : 3078: "12/9/14"
"7738 Oak Meadow Ct, Cupertino, CA" : 1880000 : 644 :4  : 3  : 2911: "12/8/14"
"21078 Manita Ct, Cupertino, CA" : 1970000 : 774 :5  : 2.5  : 2545: "12/5/14"
"1685 Galway Dr, Cupertino, CA" : 1980000 : 878 :4  : 3  : 2251: "12/2/14"
"20677 Celeste Cir, Cupertino, CA" : 835000 : 692 :2  : 2  : 1206: "12/2/14"
"10290 Sterling Blvd, Cupertino, CA" : 485000 : 462 :3  : 1  : 1048: "12/1/14"
"21875 Almaden Ave, Cupertino, CA" : 1850000 : 974 :3  : 2  : 1901: "11/26/14"
"15988 Flintlock Rd, Cupertino, CA" : 1400000 : 795 :3  : 3  : 1760: "11/26/14"
"10149 S Tantau Ave, Cupertino, CA" : 1650000 : 1,094 :3  : 2  : 1508: "11/26/14"
"22343 Mcclellan Rd, Cupertino, CA" : 1800000 : 820 :2  : 2  : 2193: "11/26/14"
"10245 Anthy Pl, Cupertino, CA" : 2000000 : 629 :5  : 3  : 3187: "11/26/14"
"10477 Mary Ave, Cupertino, CA" : 775000 : 637 :2  : 2  : 1216: "11/25/14"
"873 Hyde Ave, Cupertino, CA" : 1440000 : 700 :6  : 3  : 2055: "11/24/14"
"21865 Lomita Ave, Cupertino, CA" : 1650000 : 915 :3  : 2  : 1802: "11/24/14"
"21871 Lomita Ave, Cupertino, CA" : 1600000 : 1,587 :3  : 1  : 1008: "11/24/14"
"20388 Clifden Way, Cupertino, CA" : 1440000 : 996 :3  : 2  : 1440 :"11/21/14"
"10760 Johns Ave, Cupertino, CA" : 1220000 : 1,164 :3  : 1  : 1048 :"11/21/14"
"10264 Danube Dr, Cupertino, CA" : 798000 : 666 :2  : 2  : 1198 :"11/21/14"
"1158 Scotland Dr, Cupertino, CA" : 1340000 : 1,126 :3  : 2  : 1190 :"11/20/14"
"10860 Johns Ave, Cupertino, CA" : 950000 : 1,059 :3  : 1  : 897 :"11/20/14"
"21891 Granada Ave, Cupertino, CA" : 1300000 : 1,377 :1  : 1  : 944 :"11/14/14"
"6389 Cottwood Ct, Cupertino, CA" : 1460000 : 866 :4  : 3  : 1684 :"11/14/14"
"19743 Wintergreen Dr, Cupertino, CA" : 175000 : 89 :3  : 2  : 1958 :"11/14/14"
"10865 W Estates Dr, Cupertino, CA" : 1190000 : 913 :4  : 2  : 1300 :"11/12/14"
"18975 Tuggle Ave, Cupertino, CA" : 1250000 : 1,041 :3  : 1  : 1200:"11/10/14"
"19852 Portal Plz, Cupertino, CA" : 910000 : 733 :2  : 3  : 1240 :"11/10/14"
